phase,hip_q,knee_q,ankle_q,toe_x,toe_y
0.0,0.4,0.2,0.0,0.5920538882473323,0.0
0.01,0.38333333333333336,0.21675000000000003,-0.036333333333333336,0.5640399812225052,0.0
0.02,0.36666666666666664,0.23349999999999999,-0.07266666666666667,0.5355406765311196,0.0
0.03,0.35000000000000003,0.25025000000000003,-0.109,0.5065798743159617,0.0
0.04,0.33333333333333337,0.267,-0.14533333333333334,0.4771820030582187,0.0
0.05,0.31666666666666665,0.28375,-0.18166666666666667,0.4473719943297081,0.0
0.06,0.30000000000000004,0.3005,-0.218,0.41717525691215407,0.0
0.07,0.2833333333333333,0.31725000000000003,-0.25433333333333336,0.38661765031217077,0.0
0.08,0.26666666666666666,0.334,-0.2906666666666667,0.35572545770140473,0.0
0.09,0.25,0.35075,-0.327,0.32452535831202944,0.0
0.1,0.23333333333333334,0.36750000000000005,-0.36333333333333334,0.293044399318506,0.0
0.11,0.21666666666666665,0.38425000000000004,-0.39966666666666667,0.2613099672371997,0.0
0.12,0.2,0.401,-0.436,0.2293497588760875,0.0
0.13,0.18888888888888888,0.40872222222222226,-0.45444444444444443,0.21042387775229787,0.0
0.14,0.17777777777777778,0.4164444444444445,-0.47288888888888897,0.19145326400667262,0.0
0.15,0.16666666666666669,0.4241666666666667,-0.49133333333333334,0.1724430602838911,0.0
0.16,0.15555555555555556,0.43188888888888893,-0.5097777777777778,0.1533984191007951,0.0
0.17,0.14444444444444443,0.4396111111111112,-0.5282222222222223,0.1343245012216553,0.0
0.18,0.13333333333333336,0.44733333333333336,-0.5466666666666666,0.11522647403122897,0.0
0.19,0.12222222222222222,0.4550555555555556,-0.5651111111111111,0.09610950990615894,0.0
0.2,0.1111111111111111,0.46277777777777784,-0.5835555555555556,0.07697878458526461,0.0
0.21,0.1,0.47050000000000003,-0.602,0.05783947553927374,0.0
0.22,0.08888888888888889,0.47822222222222227,-0.6204444444444445,0.03869676034054656,0.0
0.23,0.07777777777777778,0.4859444444444445,-0.638888888888889,0.019555815033342472,0.0
0.24,0.06666666666666668,0.4936666666666667,-0.6573333333333333,0.0004218125051782817,0.0
0.25,0.05555555555555554,0.5013888888888889,-0.6757777777777778,-0.018700079140171855,0.0
0.26,0.044444444444444425,0.5091111111111112,-0.6942222222222223,-0.03780469820748647,0.0
0.27,0.033333333333333305,0.5168333333333334,-0.7126666666666668,-0.056886891032168846,0.0
0.28,0.02222222222222219,0.5245555555555557,-0.7311111111111113,-0.07594151359903523,0.0
0.29,0.011111111111111117,0.5322777777777778,-0.7495555555555555,-0.09496343315727229,0.0
0.3,0.0,0.54,-0.768,-0.11394752983102269,0.0
0.31,-0.012500000000000011,0.5296000000000001,-0.76275,-0.12178162528818054,0.0
0.32,-0.025000000000000022,0.5192,-0.7575,-0.12961804761598286,0.0
0.33,-0.03750000000000003,0.5088,-0.7522500000000001,-0.13745561274117665,0.0
0.34,-0.050000000000000044,0.4984,-0.747,-0.1452931368392855,0.0
0.35,-0.062499999999999986,0.488,-0.74175,-0.15312943652198346,0.0
0.36,-0.075,0.4776,-0.7364999999999999,-0.16096332902438326,0.0
0.37,-0.08750000000000001,0.4672,-0.73125,-0.1687936323922119,0.0
0.38,-0.10000000000000002,0.4568,-0.726,-0.17661916566884184,0.0
0.39,-0.11250000000000003,0.4464,-0.72075,-0.18443874908215072,0.0
0.4,-0.12500000000000003,0.436,-0.7155,-0.19225120423117872,0.0
0.41,-0.13749999999999998,0.42560000000000003,-0.71025,-0.20005535427255536,0.0
0.42,-0.15,0.4152,-0.7050000000000001,-0.20785002410666592,0.0
0.43,-0.1625,0.40480000000000005,-0.6997500000000001,-0.21563404056352795,0.0
0.44,-0.17500000000000002,0.3944,-0.6945,-0.2234062325883507,0.0
0.45,-0.18750000000000003,0.384,-0.68925,-0.23116543142674534,0.0
0.46,-0.20000000000000004,0.3736,-0.6839999999999999,-0.23891047080955993,0.0
0.47,-0.21249999999999997,0.3632,-0.6787500000000001,-0.24664018713730793,0.0
0.48,-0.22499999999999998,0.35280000000000006,-0.6735000000000001,-0.25435341966416286,0.0
0.49,-0.2375,0.34240000000000004,-0.66825,-0.26204901068148967,0.0
0.5,-0.25,0.332,-0.663,-0.26972580570088356,0.0
0.51,-0.255,0.3861000000000001,-0.7467000000000001,-0.31281154917400744,0.0
0.52,-0.26,0.44020000000000015,-0.8304000000000002,-0.3559648587939577,0.0
0.53,-0.265,0.4943000000000002,-0.9141000000000004,-0.3989951793043598,0.0
0.54,-0.27,0.5484000000000002,-0.9978000000000005,-0.44170837603195334,0.0
0.55,-0.275,0.6025000000000003,-1.0815000000000006,-0.4839077919958038,0.0
0.56,-0.28,0.6566000000000004,-1.1652000000000007,-0.5253953391395546,0.0
0.57,-0.285,0.7106999999999998,-1.2488999999999997,-0.5659726170420909,0.0
0.58,-0.29,0.7647999999999998,-1.3325999999999998,-0.6054420522086353,0.0
0.59,-0.295,0.8189,-1.4163,-0.6436080508359666,0.014774714514666581
0.6,-0.3,0.873,-1.5,-0.6802781577838687,0.043462060201376385
0.61,-0.27,0.9484,-1.4400000000000002,-0.6574419457186043,0.06332153072758454
0.62,-0.24,1.0238,-1.38,-0.6334900825226293,0.08497301875690014
0.63,-0.21,1.0992,-1.32,-0.6084731073425425,0.10836292968928896
0.64,-0.18,1.1745999999999999,-1.2599999999999998,-0.5824433482499484,0.1334334020142063
0.65,-0.15,1.25,-1.2,-0.5554547551453998,0.16012244838946735
0.66,-0.0999999999999999,1.2800000000000002,-1.0599999999999998,-0.49237889906479226,0.15967046474825344
0.67,-0.04999999999999977,1.31,-0.9199999999999993,-0.43123524202822594,0.16490778256365346
0.68,3.3306690738754696e-16,1.34,-0.7799999999999991,-0.37265299923838524,0.17548259096933408
0.69,0.049999999999999906,1.3699999999999999,-0.6400000000000002,-0.317205760357526,0.19096579574086028
0.7,0.1,1.4,-0.5,-0.2654015985744427,0.21085953228359247
0.71,0.16666666666666669,1.3333333333333335,-0.39166666666666666,-0.18877741331941827,0.16961392805133443
0.72,0.23333333333333334,1.2666666666666666,-0.2833333333333334,-0.10609875826266688,0.13604808454833833
0.73,0.3,1.2,-0.175,-0.018245325837699056,0.11101487667327253
0.74,0.36666666666666664,1.1333333333333333,-0.0666666666666667,0.07378655389315764,0.09525593202374194
0.75,0.43333333333333335,1.0666666666666667,0.041666666666666685,0.16889883722103904,0.08938602999978391
0.76,0.5,1.0,0.15,0.26590874080618826,0.09387956319257132
0.77,0.50625,0.8946249999999998,0.1705,0.3247893650821303,0.0738236227409288
0.78,0.5125000000000001,0.7892499999999997,0.19100000000000006,0.38619244871971287,0.06020904956766447
0.79,0.51875,0.6838749999999997,0.21150000000000008,0.44938474707630094,0.05328706726070878
0.8,0.5250000000000001,0.5784999999999995,0.23200000000000012,0.513609402378484,0.05322562448006126
0.81,0.53125,0.47312499999999924,0.25250000000000017,0.57809536785505,0.060107279079479325
0.82,0.5375000000000001,0.3677500000000003,0.27299999999999996,0.6420670089896179,0.07392814520262206
0.83,0.54375,0.2623750000000002,0.2935,0.704753762381893,0.09459791646963107
0.84,0.55,0.157,0.314,0.7653997319892331,0.12194096497576545
0.85,0.5437500000000001,0.16462500000000002,0.2998125,0.7559594380284251,0.11375874676679584
0.86,0.5375,0.17225,0.28562499999999996,0.7464205275889233,0.10568274417423712
0.87,0.53125,0.17987500000000003,0.2714375,0.7367843215206875,0.09771423638140446
0.88,0.525,0.1875,0.2572499999999999,0.7270521579207678,0.08985448517115541
0.89,0.51875,0.19512500000000005,0.24306249999999996,0.7172253918972351,0.08210473468894085
0.9,0.5125,0.20275000000000004,0.22887499999999994,0.7073053953298298,0.07446621120910207
0.91,0.5062500000000001,0.21037500000000003,0.21468749999999995,0.6972935566273697,0.06694012290446133
0.92,0.5,0.21800000000000003,0.2004999999999999,0.6871912804819643,0.059527659619252535
0.93,0.49375,0.22562500000000008,0.18631249999999988,0.6769999876200834,0.05222999264543491
0.94,0.48750000000000004,0.23324999999999999,0.17212500000000006,0.666721114550523,0.045048274502432685
0.95,0.48125000000000007,0.240875,0.15793750000000006,0.6563561133093196,0.037983638720345755
0.96,0.47500000000000003,0.2485,0.14375000000000004,0.6459064512016597,0.031037199626673395
0.97,0.46875000000000006,0.256125,0.12956250000000002,0.6353736105408319,0.024210052136592306
0.98,0.4625,0.26375,0.11537500000000002,0.6247590883842725,0.01750327154682999
0.99,0.45625,0.27137500000000003,0.1011875,0.6140643962667554,0.01091791333317443
